Home Address,City,State,Zip,Volunteered in the past,2019 Gift,2018 Gift,2017 Gift,2016 Gift,2015 Gift,2014 Gift,2013 Gift,2012 Gift,2011 Gift,CompTotal
6736 Udall   Way,Lisbon,Oregon,68770,False,96535.60,35990.85,65466.67,74071.05,43463.61,91870.99,98652.49,16559.39,75884.58,523
6932 Bethwin  Road,Honolulu,Alaska,74240,False,55681.79,9108.68,6440.71,42169.22,99415.06,76032.01,15683.99,87287.97,9083.66,44
6620 Enford   Boulevard,Columbus,Utah,29863,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8615 Clerkenwell Drive,Fort Lauderdale,Connecticut,74586,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7371 Bury  Crossroad,New York,Oregon,58789,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8765 South Lane,Omaha,New York,79560,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7622 Coborn  Rue,Garland,Florida,44899,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
4323 Bliss  Grove,Fremont,Iowa,20364,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116000
2516 Monroe Walk,Minneapolis,Connecticut,47742,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
5936 Bendall   Route,Tallahassee,Florida,15851,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25000
5130 Yoakley Rue,Garland,Colorado,45838,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31000
915 Calvin   Hill,St. Louis,Massachussets,94042,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100
5996 Cheney  Boulevard,San Francisco,South Dakota,95808,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000
8714 Beaconsfield  Alley,Escondido,Connecticut,88649,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66001
7526 Carolina  Vale,Jacksonville,Alabama,19625,True,NULL,NULL,17489.99,95855.82,83463.68,42076.67,32014.91,49960.00,60798.48,0
922 Calderwood   Avenue,Berna,Arizona,29163,False,NULL,NULL,69117.01,65335.74,21426.46,23526.38,83992.22,49099.04,41748.69,7000
8362 West Walk,Prague,Colorado,45635,False,NULL,NULL,81297.47,NULL,NULL,50199.52,NULL,NULL,3700.27,79000
8470 Cleaver Drive,El Paso,Montana,93641,True,NULL,NULL,53257.33,NULL,NULL,95443.27,NULL,NULL,13223.68,105000
8567 Jackson Grove,Lancaster,Massachussets,64943,False,NULL,NULL,29834.44,NULL,NULL,35785.59,NULL,NULL,35668.73,83400
