Home Address,City,State,Zip,Volunteered in the past, 2019 Gift , 2018 Gift , 2017 Gift , 2016 Gift , 2015 Gift , 2014 Gift , 2013 Gift , 2012 Gift , 2011 Gift ,CompTotal
6736 Udall   Way,Lisbon,Oregon,68770,FALSE," $96,535.60 "," $35,990.85 "," $65,466.67 "," $74,071.05 "," $43,463.61 "," $91,870.99 "," $98,652.49 "," $16,559.39 "," $75,884.58 ",523.3
6932 Bethwin  Road,Honolulu,Alaska,74240,FALSE," $55,681.79 "," $9,108.68 "," $6,440.71 "," $42,169.22 "," $99,415.06 "," $76,032.01 "," $15,683.99 "," $87,287.97 "," $9,083.66 ",43.6
6620 Enford   Boulevard,Columbus,Utah,29863,FALSE,,,,,,,,,,NA
8615 Clerkenwell Drive,Fort Lauderdale,Connecticut,74586,FALSE,,,,,,,,,,NA
7371 Bury  Crossroad,New York,Oregon,58789,FALSE,,,,,,,,,,NA
8765 South Lane,Omaha,New York,79560,TRUE,,,,,,,,,,NA
7622 Coborn  Rue,Garland,Florida,44899,TRUE,,,,,,,,,,NA
4323 Bliss  Grove,Fremont,Iowa,20364,TRUE,,,,,,,,,,116000.22
2516 Monroe Walk,Minneapolis,Connecticut,47742,FALSE,,,,,,,,,,NA
5936 Bendall   Route,Tallahassee,Florida,15851,TRUE,,,,,,,,,,25000.21
5130 Yoakley Rue,Garland,Colorado,45838,TRUE,,,,,,,,,,31000
915 Calvin   Hill,St. Louis,Massachussets,94042,TRUE,,,,,,,,,,1100
5996 Cheney  Boulevard,San Francisco,South Dakota,95808,TRUE,,,,,,,,,,3000
8714 Beaconsfield  Alley,Escondido,Connecticut,88649,TRUE,,,,,,,,,,66000.98
7526 Carolina  Vale,Jacksonville,Alabama,19625,TRUE,,," $17,489.99 "," $95,855.82 "," $83,463.68 "," $42,076.67 "," $32,014.91 "," $49,960.00 "," $60,798.48 ",NA
922 Calderwood   Avenue,Berna,Arizona,29163,FALSE,,," $69,117.01 "," $65,335.74 "," $21,426.46 "," $23,526.38 "," $83,992.22 "," $49,099.04 "," $41,748.69 ",7000
8362 West Walk,Prague,Colorado,45635,FALSE,,," $81,297.47 ",,," $50,199.52 ",,," $3,700.27 ",79000
8470 Cleaver Drive,El Paso,Montana,93641,TRUE,,," $53,257.33 ",,," $95,443.27 ",,," $13,223.68 ",105000
8567 Jackson Grove,Lancaster,Massachussets,64943,FALSE,,," $29,834.44 ",,," $35,785.59 ",,," $35,668.73 ",83400
1727 Antrobus   Tunnel,Hayward,Arizona,70750,FALSE,,," $71,252.75 ",,," $95,071.43 ",,," $70,673.67 ",NA
6810 Angrave    Rue,Santa Ana,Montana,65540,TRUE,,," $61,231.43 ",,," $25,194.53 ",,," $16,942.34 ",NA
6648 Commercial  Rue,Berlin,Kentucky,84942,FALSE,,," $36,374.46 ",,," $95,277.11 ",,," $56,253.34 ",NA
7949 Linden Tunnel,Rochester,Illinois,77282,TRUE,,," $35,953.51 ",,," $83,250.75 ",,," $73,884.29 ",NA
9027 Oxford Walk,Escondido,California,20106,TRUE,,," $97,253.53 ",,," $74,104.67 ",,," $24,192.47 ",8500.2
8292 Sherwood  Road,Kansas City,Nebraska,28377,TRUE,,," $34,021.79 ",,," $97,476.68 ",,," $88,010.27 ",NA
6649 Erindale Rue,Valetta,Wyoming,77158,TRUE,,," $78,781.92 ",,," $86,178.76 ",,," $33,449.40 ",94000
9789 Boldero   Walk,Phoenix,Indiana,25823,FALSE,,," $28,208.82 ",,," $64,204.62 ",,," $73,359.33 ",NA
3465 Abbey   Alley,Cincinnati,Washington,23896,TRUE," $85,951.86 "," $95,479.53 "," $45,831.92 ",,," $39,841.35 ",,," $88,245.40 ",NA
1919 Canon Way,Kansas City,Texas,82682,FALSE," $37,786.08 "," $67,588.11 "," $67,350.49 ",,," $55,254.35 ",,," $75,138.65 ",NA
