Home Address,City,State,Zip,Volunteered in the past,2019 Gift,2018 Gift,2017 Gift,2016 Gift,2015 Gift,2014 Gift,2013 Gift,2012 Gift,2011 Gift,CompTotal
6736 Udall   Way,Lisbon,123566,68770,False,96536,35991,65467,74071,43464,91871,98652,16559,75885,523
6932 Bethwin  Road,Honolulu,14525,74240,False,55682,9109,6441,42169,99415,76032,15684,87288,9084,44
6620 Enford   Boulevard,Columbus,Utah,29863,False,0,0,0,0,0,0,0,0,0,0
8615 Clerkenwell Drive,Fort Lauderdale,Connecticut,74586,False,0,0,0,0,0,0,0,0,0,0
7371 Bury  Crossroad,New York,Oregon,58789,False,0,0,0,0,0,0,0,0,0,0
8765 South Lane,Omaha,New York,79560,True,0,0,0,0,0,0,0,0,0,0
7622 Coborn  Rue,Garland,Florida,44899,True,0,0,0,0,0,0,0,0,0,0
4323 Bliss  Grove,Fremont,Iowa,20364,True,0,0,0,0,0,0,0,0,0,116000
2516 Monroe Walk,Minneapolis,Connecticut,47742,False,0,0,0,0,0,0,0,0,0,0
5936 Bendall   Route,Tallahassee,Florida,15851,True,0,0,0,0,0,0,0,0,0,25000
5130 Yoakley Rue,Garland,Colorado,45838,True,0,0,0,0,0,0,0,0,0,31000
915 Calvin   Hill,St. Louis,Massachussets,94042,True,0,0,0,0,0,0,0,0,0,1100
5996 Cheney  Boulevard,San Francisco,South Dakota,95808,True,0,0,0,0,0,0,0,0,0,3000
8714 Beaconsfield  Alley,Escondido,Connecticut,88649,True,0,0,0,0,0,0,0,0,0,66001
7526 Carolina  Vale,Jacksonville,Alabama,19625,True,0,0,17490,95856,83464,42077,32015,49960,60798,0
922 Calderwood   Avenue,Berna,Arizona,29163,False,0,0,69117,65336,21426,23526,83992,49099,41749,7000
8362 West Walk,Prague,Colorado,45635,False,0,0,81297,0,0,50200,0,0,3700,79000
8470 Cleaver Drive,El Paso,Montana,93641,True,0,0,53257,0,0,95443,0,0,13224,105000
8567 Jackson Grove,Lancaster,Massachussets,64943,False,0,0,29834,0,0,35786,0,0,35669,83400
1727 Antrobus   Tunnel,Hayward,Arizona,70750,False,0,0,71253,0,0,95071,0,0,70674,0
6810 Angrave    Rue,Santa Ana,Montana,65540,True,0,0,61231,0,0,25195,0,0,16942,0
6648 Commercial  Rue,Berlin,Kentucky,84942,False,0,0,36374,0,0,95277,0,0,56253,0
