Home Address,City,State,Zip,Volunteered in the past,2019 Gift,2018 Gift,2017 Gift,2016 Gift,2015 Gift,2014 Gift,2013 Gift,2012 Gift,2011 Gift,CompTotal
6736 Udall   Way,Lisbon,Oregon,68770,False," $96,535.60 "," $35,990.85 "," $65,466.67 "," $74,071.05 "," $43,463.61 "," $91,870.99 "," $98,652.49 "," $16,559.39 "," $75,884.58 ",523
6932 Bethwin  Road,Honolulu,Alaska,74240,False," $55,681.79 "," $9,108.68 "," $6,440.71 "," $42,169.22 "," $99,415.06 "," $76,032.01 "," $15,683.99 "," $87,287.97 "," $9,083.66 ",44
6620 Enford   Boulevard,Columbus,Utah,29863,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8615 Clerkenwell Drive,Fort Lauderdale,Connecticut,74586,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7371 Bury  Crossroad,New York,Oregon,58789,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8765 South Lane,Omaha,New York,79560,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7622 Coborn  Rue,Garland,Florida,44899,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
4323 Bliss  Grove,Fremont,Iowa,20364,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116000
2516 Monroe Walk,Minneapolis,Connecticut,47742,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
5936 Bendall   Route,Tallahassee,Florida,15851,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25000
5130 Yoakley Rue,Garland,Colorado,45838,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31000
915 Calvin   Hill,St. Louis,Massachussets,94042,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100
5996 Cheney  Boulevard,San Francisco,South Dakota,95808,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3000
8714 Beaconsfield  Alley,Escondido,Connecticut,88649,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66001
7526 Carolina  Vale,Jacksonville,Alabama,19625,True,NULL,NULL," $17,489.99 "," $95,855.82 "," $83,463.68 "," $42,076.67 "," $32,014.91 "," $49,960.00 "," $60,798.48 ",0
922 Calderwood   Avenue,Berna,Arizona,29163,False,NULL,NULL," $69,117.01 "," $65,335.74 "," $21,426.46 "," $23,526.38 "," $83,992.22 "," $49,099.04 "," $41,748.69 ",7000
8362 West Walk,Prague,Colorado,45635,False,NULL,NULL," $81,297.47 ",NULL,NULL," $50,199.52 ",NULL,NULL," $3,700.27 ",79000
8470 Cleaver Drive,El Paso,Montana,93641,True,NULL,NULL," $53,257.33 ",NULL,NULL," $95,443.27 ",NULL,NULL," $13,223.68 ",105000
8567 Jackson Grove,Lancaster,Massachussets,64943,False,NULL,NULL," $29,834.44 ",NULL,NULL," $35,785.59 ",NULL,NULL," $35,668.73 ",83400
